p.name
WHITNEY SCHNEIDER
WILBUR ROSS
WILLIAM G. PETTY JR.
WILLIAM I. KOCH
WILLIAM OBERNDORF
WU XIAOHUI
XAVIER DEU
Y. DAVID SCHARF
YOSHIO MATSUURA
YURI MILNER
YURY ZAYTSEV
ZIYA MAMMADOV
ELVIRA KUDRYASHOVA
EMIN AGALAROV
ERIC HOLCOMB
GEORGE SOROS
GRACE MURDOCH
LUCIUS JOSEPH RICCIO
MARYANNE TRUMP BARRY
MATTHEW GRISWOLD BEVIN
MICHELLE BACHMANN
MITCH MCCONNELL
NICOLAS SARKOZY
NIGEL FARAGE
RAZ STEINMETZ
RICHARD GOETTLICH
RICK SNYDER
SALLY PRIEBUS
SAM BROWNBACK
SERGEY KISLYAK
SETYA NOVANTO
SONNY PERDUE
TERRY BRANSTAD
VLADIMIR PUTIN
WELLS GRIFFITH
WENDI DENG MURDOCH
YOUSEF AL-OTAIBA
SCOTT WALKER
WILLIAM P. FOLEY
DANIEL STEINMETZ
KEVIN MARINO
BENJAMIN NETANYAHU
ESTHER KUSHNER
JIM MCGREEVEY
MURRAY KUSHNER
ADO MACHIDA
ALEXANDER ANGELSON
ALEXANDER GRAY
ANDELIZ CASTILLO
ANDREW D. KOENIG
ARAS AGALAROV
BEN HOWARD
BETHANY SCULLY
BORIS EPSHTEYN
CARLOS DIAZ-ROSILLO
CHRISTINE CICCONE
CINDY SIMMS
CLIFF SIMS
DAVID M. FRIEDMAN
ELENA GORLOVA
GEORGE GIGICOS
HELEN FERRE
IKE PERLMUTTER
JAMES SCHULTZ
JARROD P. AGEN
JENNIFER KORN
JEREMY KATZ
JESSICA DITTO
JOE HAGIN
JOHN DESTEFANO
JOHN EISENBERG
JOSEPH HAGIN
JOSEPH KELLOGG
JOSEPH LAI
JOYCE MEYER
JUSTIN CLARK
KATHRYN TALENTO
KEITH SCHILLER
LINDSAY WALTERS
MADELEINE WESTERHOUT
MANGAL PRABHAT LODHA
MARC LOTTER
MICHAEL J. ELLIS
NEWT GINGRICH
OLEG MISERVA
PAUL WINFREE
PETER NAVARRO
PHIL RUFFIN
PRINCE ALWALEED BIN TALALTHE
RAJ SHAH
RECEP TAYYIP ERDOGAN
ROBERT GOAD
ROBERT KRAFT
ROGER KHAFIF
ROSS WORTHINGTON
RYAN JARMULA
SAM CLOVIS
SAM NUNBERG
SARAH MAKIN
SCOTT GAST
SEAN CAIRNCROSS
SEAN HANNITY
SERGEY I. KISLYAK
SHAHIRA KNIGHT
STEPHANIE GRISHAM
STEPHEN MUNISTERI
STEVEN N. CHEUNG
TIMOTHY PATAKI
UTTAM DHILLON
VICTOR PINCHUK
VINCE HALEY
"WALTER J. ""JAY"" CLAYTON III"
ANDRIY ZAIKA
BERNARD R. DIAMOND
BONNIE HAYDON
VANESSA TRUMP
VIKTOR TKACHUK
AVRAHM BERKOWITZ
CUI TIANKAI
MARGARET CHIN
MILES BERGER
ROB SPEYER
STRAUSS ZELNICK
JOHN KYL
THOMAS E. WHEELER
ROMA DOWNEY
LINDSEY REYNOLDS
STEPHANIE WINSTON WOLKOFF
JEN PAVLIK
JOSH PITCOCK
ABDUL RAHMAN AL-ASSIR
ARTHUR G. COHEN
DMITRY FIRTASH
DMYTRO FIRTASH
SERHIY LYOVOCHKIN
SYLVAIN MIROCHNIKOFF
MALLORY HUNTER
ALEXANDER NOVAK
PETER HOLT
BOB DOLE
JULIAN ASSANGE
HAROLD G. HAMM
TUCKER CARLSON
EDWARD LAMPERT
XI JINPING
ZHUO RAN
